PERMNO,date,TICKER,DIVAMT,FACPR,PRC,RET,CFACPR,sprtrn
89393,20160725,NFLX,,,87.66000,0.020608,1,-0.003011
89393,20160726,NFLX,,,91.41000,0.042779,1,0.000323
89393,20160727,NFLX,,,92.04000,0.006892,1,-0.001199
89393,20160728,NFLX,,,91.65000,-0.004237,1,0.001606
89393,20160729,NFLX,,,91.25000,-0.004364,1,0.001631
89393,20160801,NFLX,,,94.37000,0.034192,1,-0.001270
89393,20160802,NFLX,,,93.56000,-0.008583,1,-0.006362
89393,20160803,NFLX,,,93.10000,-0.004917,1,0.003134
89393,20160804,NFLX,,,93.44000,0.003652,1,0.000213
89393,20160805,NFLX,,,97.03000,0.038420,1,0.008603
89393,20160808,NFLX,,,95.11000,-0.019788,1,-0.000907
89393,20160809,NFLX,,,93.99000,-0.011776,1,0.000390
89393,20160810,NFLX,,,93.93000,-0.000638,1,-0.002865
89393,20160811,NFLX,,,95.89000,0.020867,1,0.004735
89393,20160812,NFLX,,,96.59000,0.007300,1,-0.000796
89393,20160815,NFLX,,,95.31000,-0.013252,1,0.002793
89393,20160816,NFLX,,,95.12000,-0.001993,1,-0.005479
89393,20160817,NFLX,,,96.37000,0.013141,1,0.001869
89393,20160818,NFLX,,,96.16000,-0.002179,1,0.002200
89393,20160819,NFLX,,,95.87000,-0.003016,1,-0.001440
89393,20160822,NFLX,,,95.26000,-0.006363,1,-0.000563
89393,20160823,NFLX,,,95.94000,0.007138,1,0.001952
89393,20160824,NFLX,,,95.18000,-0.007922,1,-0.005240
89393,20160825,NFLX,,,97.32000,0.022484,1,-0.001365
89393,20160826,NFLX,,,97.58000,0.002672,1,-0.001579
89393,20160829,NFLX,,,97.30000,-0.002869,1,0.005228
89393,20160830,NFLX,,,97.45000,0.001542,1,-0.001954
89393,20160831,NFLX,,,97.45000,0.000000,1,-0.002376
89393,20160901,NFLX,,,97.38000,-0.000718,1,-0.000041
89393,20160902,NFLX,,,97.38000,0.000000,1,0.004201
89393,20160906,NFLX,,,100.09000,0.027829,1,0.002982
89393,20160907,NFLX,,,99.15000,-0.009391,1,-0.000146
89393,20160908,NFLX,,,99.66000,0.005144,1,-0.002223
89393,20160909,NFLX,,,96.50000,-0.031708,1,-0.024522
89393,20160912,NFLX,,,99.05000,0.026425,1,0.014677
89393,20160913,NFLX,,,96.09000,-0.029884,1,-0.014831
89393,20160914,NFLX,,,97.01000,0.009574,1,-0.000588
89393,20160915,NFLX,,,97.34000,0.003402,1,0.010109
89393,20160916,NFLX,,,99.48000,0.021985,1,-0.003772
89393,20160919,NFLX,,,98.06000,-0.014274,1,-0.000019
89393,20160920,NFLX,,,98.25000,0.001938,1,0.000299
89393,20160921,NFLX,,,94.88000,-0.034300,1,0.010917
89393,20160922,NFLX,,,95.83000,0.010013,1,0.006500
89393,20160923,NFLX,,,95.94000,0.001148,1,-0.005737
89393,20160926,NFLX,,,94.56000,-0.014384,1,-0.008588
89393,20160927,NFLX,,,97.07000,0.026544,1,0.006444
89393,20160928,NFLX,,,97.48000,0.004224,1,0.005296
89393,20160929,NFLX,,,96.67000,-0.008309,1,-0.009321
89393,20160930,NFLX,,,98.55000,0.019448,1,0.007968
89393,20161003,NFLX,,,102.63000,0.041400,1,-0.003261
89393,20161004,NFLX,,,102.34000,-0.002826,1,-0.004956
89393,20161005,NFLX,,,106.28000,0.038499,1,0.004297
89393,20161006,NFLX,,,105.07000,-0.011385,1,0.000482
89393,20161007,NFLX,,,104.82000,-0.002379,1,-0.003253
89393,20161010,NFLX,,,103.33000,-0.014215,1,0.004606
89393,20161011,NFLX,,,100.59000,-0.026517,1,-0.012447
89393,20161012,NFLX,,,99.50000,-0.010836,1,0.001147
89393,20161013,NFLX,,,100.23000,0.007337,1,-0.003099
89393,20161014,NFLX,,,101.47000,0.012372,1,0.000202
89393,20161017,NFLX,,,99.80000,-0.016458,1,-0.003038
89393,20161018,NFLX,,,118.79000,0.190281,1,0.006160
89393,20161019,NFLX,,,121.87000,0.025928,1,0.002192
89393,20161020,NFLX,,,123.35000,0.012144,1,-0.001376
89393,20161021,NFLX,,,127.50000,0.033644,1,-0.000084
89393,20161024,NFLX,,,127.33000,-0.001333,1,0.004750
89393,20161025,NFLX,,,126.51000,-0.006440,1,-0.003798
89393,20161026,NFLX,,,126.97000,0.003636,1,-0.001740
89393,20161027,NFLX,,,126.47000,-0.003938,1,-0.002987
89393,20161028,NFLX,,,126.57000,0.000791,1,-0.003108
89393,20161031,NFLX,,,124.87000,-0.013431,1,-0.000122
89393,20161101,NFLX,,,123.30000,-0.012573,1,-0.006787
89393,20161102,NFLX,,,122.34000,-0.007786,1,-0.006525
89393,20161103,NFLX,,,122.14000,-0.001635,1,-0.004423
89393,20161104,NFLX,,,122.03000,-0.000901,1,-0.001666
89393,20161107,NFLX,,,124.58000,0.020897,1,0.022224
89393,20161108,NFLX,,,124.34000,-0.001927,1,0.003772
89393,20161109,NFLX,,,122.19000,-0.017291,1,0.011077
89393,20161110,NFLX,,,115.42000,-0.055406,1,0.001951
89393,20161111,NFLX,,,114.78000,-0.005545,1,-0.001398
89393,20161114,NFLX,,,113.38000,-0.012197,1,-0.000116
89393,20161115,NFLX,,,113.59000,0.001852,1,0.007481
89393,20161116,NFLX,,,115.19000,0.014086,1,-0.001582
89393,20161117,NFLX,,,115.03000,-0.001389,1,0.004676
89393,20161118,NFLX,,,115.21000,0.001565,1,-0.002387
89393,20161121,NFLX,,,117.96000,0.023869,1,0.007461
89393,20161122,NFLX,,,118.04000,0.000678,1,0.002165
89393,20161123,NFLX,,,117.69000,-0.002965,1,0.000808
89393,20161125,NFLX,,,117.41000,-0.002379,1,0.003914
89393,20161128,NFLX,,,116.93000,-0.004088,1,-0.005254
89393,20161129,NFLX,,,117.51000,0.004960,1,0.001335
89393,20161130,NFLX,,,117.00000,-0.004340,1,-0.002653
89393,20161201,NFLX,,,117.22000,0.001880,1,-0.003516
89393,20161202,NFLX,,,120.81000,0.030626,1,0.000397
89393,20161205,NFLX,,,119.16000,-0.013658,1,0.005821
89393,20161206,NFLX,,,124.57000,0.045401,1,0.003411
89393,20161207,NFLX,,,125.39000,0.006583,1,0.013163
89393,20161208,NFLX,,,123.24000,-0.017147,1,0.002159
89393,20161209,NFLX,,,122.88000,-0.002921,1,0.005939
89393,20161212,NFLX,,,122.83000,-0.000407,1,-0.001137
89393,20161213,NFLX,,,123.78000,0.007734,1,0.006540
89393,20161214,NFLX,,,123.44000,-0.002747,1,-0.008117
89393,20161215,NFLX,,,125.00000,0.012638,1,0.003883
89393,20161216,NFLX,,,124.22000,-0.006240,1,-0.001751
89393,20161219,NFLX,,,125.45000,0.009902,1,0.001975
89393,20161220,NFLX,,,125.12000,-0.002630,1,0.003638
89393,20161221,NFLX,,,126.50000,0.011029,1,-0.002457
89393,20161222,NFLX,,,125.58000,-0.007273,1,-0.001863
89393,20161223,NFLX,,,125.59000,0.000080,1,0.001252
89393,20161227,NFLX,,,128.35001,0.021976,1,0.002248
89393,20161228,NFLX,,,125.89000,-0.019166,1,-0.008357
89393,20161229,NFLX,,,125.33000,-0.004448,1,-0.000293
89393,20161230,NFLX,,,123.80000,-0.012208,1,-0.004637
89393,20170103,NFLX,,,127.49000,0.029806,1,0.008487
89393,20170104,NFLX,,,129.41000,0.015060,1,0.005722
89393,20170105,NFLX,,,131.81000,0.018546,1,-0.000771
89393,20170106,NFLX,,,131.07001,-0.005614,1,0.003517
89393,20170109,NFLX,,,130.95000,-0.000916,1,-0.003549
89393,20170110,NFLX,,,129.89000,-0.008095,1,0.000000
89393,20170111,NFLX,,,130.50000,0.004696,1,0.002830
89393,20170112,NFLX,,,129.17999,-0.010115,1,-0.002145
89393,20170113,NFLX,,,133.70000,0.034990,1,0.001850
89393,20170117,NFLX,,,132.89000,-0.006058,1,-0.002968
89393,20170118,NFLX,,,133.25999,0.002784,1,0.001764
89393,20170119,NFLX,,,138.41000,0.038646,1,-0.003609
89393,20170120,NFLX,,,138.60001,0.001373,1,0.003366
89393,20170123,NFLX,,,137.39000,-0.008730,1,-0.002690
89393,20170124,NFLX,,,140.11000,0.019798,1,0.006565
89393,20170125,NFLX,,,139.52000,-0.004211,1,0.008026
89393,20170126,NFLX,,,138.96001,-0.004014,1,-0.000735
89393,20170127,NFLX,,,142.45000,0.025115,1,-0.000866
89393,20170130,NFLX,,,141.22000,-0.008635,1,-0.006010
89393,20170131,NFLX,,,140.71001,-0.003611,1,-0.000890
89393,20170201,NFLX,,,140.78000,0.000497,1,0.000298
89393,20170202,NFLX,,,139.20000,-0.011223,1,0.000570
89393,20170203,NFLX,,,140.25000,0.007543,1,0.007265
89393,20170206,NFLX,,,140.97000,0.005134,1,-0.002115
89393,20170207,NFLX,,,144.00000,0.021494,1,0.000227
89393,20170208,NFLX,,,144.74001,0.005139,1,0.000693
89393,20170209,NFLX,,,144.14000,-0.004145,1,0.005752
89393,20170210,NFLX,,,144.82001,0.004718,1,0.003566
89393,20170213,NFLX,,,143.20000,-0.011186,1,0.005246
89393,20170214,NFLX,,,140.82001,-0.016620,1,0.004007
89393,20170215,NFLX,,,142.27000,0.010297,1,0.004992
89393,20170216,NFLX,,,142.00999,-0.001828,1,-0.000864
89393,20170217,NFLX,,,142.22000,0.001479,1,0.001679
89393,20170221,NFLX,,,142.60001,0.002672,1,0.006048
89393,20170222,NFLX,,,143.86000,0.008836,1,-0.001082
89393,20170223,NFLX,,,142.78000,-0.007507,1,0.000419
89393,20170224,NFLX,,,143.25000,0.003292,1,0.001493
89393,20170227,NFLX,,,143.41000,0.001117,1,0.001018
